valuation_date,portfolio_code,isin,daily_return_bps,contribution_bps
2025-01-02,FUND_A,US0378331005,-33.01,-2.5733
2025-01-03,FUND_A,US0378331005,22.75,1.8621
2025-01-06,FUND_A,US0378331005,19.62,1.6647
2025-01-07,FUND_A,US0378331005,40.88,3.3287
2025-01-08,FUND_A,US0378331005,2.83,0.2217
2025-01-09,FUND_A,US0378331005,-45.55,-3.6892
2025-01-10,FUND_A,US0378331005,-67.61,-5.6465
2025-01-13,FUND_A,US0378331005,61.08,5.072
2025-01-14,FUND_A,US0378331005,-137.5,-11.8804
2025-01-15,FUND_A,US0378331005,-34.04,-2.7598
2025-01-16,FUND_A,US0378331005,-62.65,-4.9813
2025-01-17,FUND_A,US0378331005,4.23,0.3232
2025-01-20,FUND_A,US0378331005,-31.76,-2.506
2025-01-21,FUND_A,US0378331005,-27.38,-2.1539
2025-01-22,FUND_A,US0378331005,47.41,3.8955
2025-01-23,FUND_A,US0378331005,-33.54,-2.7512
2025-01-24,FUND_A,US0378331005,-69.32,-5.9424
2025-01-27,FUND_A,US0378331005,58.75,4.5836
2025-01-28,FUND_A,US0378331005,50.82,3.9554
2025-01-29,FUND_A,US0378331005,72.09,5.8723
2025-01-30,FUND_A,US0378331005,32.07,2.6446
2025-01-31,FUND_A,US0378331005,-44.16,-3.7228
2025-02-03,FUND_A,US0378331005,69.53,5.8274
2025-02-04,FUND_A,US0378331005,-24.12,-1.9704
2025-02-05,FUND_A,US0378331005,10.34,0.7968
2025-02-06,FUND_A,US0378331005,-66.72,-5.5222
2025-02-07,FUND_A,US0378331005,-38.92,-3.1675
2025-02-10,FUND_A,US0378331005,27.31,2.1802
2025-02-11,FUND_A,US0378331005,40.46,3.5069
2025-02-12,FUND_A,US0378331005,1.94,0.1619
2025-02-13,FUND_A,US0378331005,74.02,5.8378
2025-02-14,FUND_A,US0378331005,-4.86,-0.3994
2025-02-17,FUND_A,US0378331005,-125.19,-10.0756
2025-02-18,FUND_A,US0378331005,30.4,2.4429
2025-02-19,FUND_A,US0378331005,-129.68,-10.9465
2025-02-20,FUND_A,US0378331005,-101.26,-7.7034
2025-02-21,FUND_A,US0378331005,-26.16,-2.1658
2025-02-24,FUND_A,US0378331005,32.65,2.705
2025-02-25,FUND_A,US0378331005,31.22,2.4504
2025-02-26,FUND_A,US0378331005,-16.97,-1.3824
2025-02-27,FUND_A,US0378331005,20.98,1.7
2025-02-28,FUND_A,US0378331005,-77.94,-6.0195
2025-03-03,FUND_A,US0378331005,143.19,12.1734
2025-03-04,FUND_A,US0378331005,-15.45,-1.279
2025-03-05,FUND_A,US0378331005,-8.81,-0.685
2025-03-06,FUND_A,US0378331005,-13.94,-1.0627
2025-03-07,FUND_A,US0378331005,67.26,5.4252
2025-03-10,FUND_A,US0378331005,9.92,0.8246
2025-03-11,FUND_A,US0378331005,10.46,0.865
2025-03-12,FUND_A,US0378331005,-22.36,-1.728
2025-03-13,FUND_A,US0378331005,-22.7,-1.8696
2025-03-14,FUND_A,US0378331005,11.49,0.9823
